Comment,Designator,Footprint,LCSC,Quantity
~,N6,IN-14,,1
~,N5,IN-14,,1
~,N4,IN-14,,1
~,N3,IN-14,,1
~,N2,IN-14,,1
~,N1,IN-14,,1
Conn_02x02_Odd_Even,J7,PinSocket_2x02_P2.00mm_Vertical,,1
Conn_02x05_Odd_Even,J6,PinSocket_2x05_P2.00mm_Vertical,,1
Conn_02x05_Odd_Even,J5,PinSocket_2x05_P2.00mm_Vertical,,1
Conn_02x05_Odd_Even,J4,PinSocket_2x05_P2.00mm_Vertical,,1
Conn_02x05_Odd_Even,J3,PinSocket_2x05_P2.00mm_Vertical,,1
Conn_02x05_Odd_Even,J2,PinSocket_2x05_P2.00mm_Vertical,,1
Conn_02x05_Odd_Even,J1,PinSocket_2x05_P2.00mm_Vertical,,1
2k2,R6,R_1206_3216Metric,,1
2k2,R5,R_1206_3216Metric,,1
2k2,R4,R_1206_3216Metric,,1
2k2,R3,R_1206_3216Metric,,1
2k2,R2,R_1206_3216Metric,,1
2k2,R1,R_1206_3216Metric,,1
