Comment,Designator,Footprint,LCSC,Quantity
1k,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
1k,R9,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
220k,R8,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
PMBTA92,Q2,SOT-23,,1
PMBTA42,Q1,SOT-23,,1
100n,C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100n,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
74141,U6,DIP-16_W7.62mm,,1
Conn_02x05_Odd_Even,J7,PinHeader_2x05_P2.00mm_Vertical,,1
100n,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
Conn_02x05_Odd_Even,J9,PinHeader_2x05_P2.00mm_Vertical,,1
Conn_02x05_Odd_Even,J8,PinHeader_2x05_P2.00mm_Vertical,,1
Conn_02x05_Odd_Even,J6,PinHeader_2x05_P2.00mm_Vertical,,1
Conn_02x05_Odd_Even,J5,PinHeader_2x05_P2.00mm_Vertical,,1
Conn_02x02_Odd_Even,J4,PinHeader_2x02_P2.00mm_Vertical,,1
Conn_02x05_Odd_Even,J3,PinHeader_2x05_P2.00mm_Vertical,,1
Conn_01x04_Pin,J2,PinHeader_1x04_P2.54mm_Vertical,,1
TCA9406DC,U4,SSOP-8_2.95x2.8mm_P0.65mm,,1
4k7,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
4k7,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
MCP23017_SO,U11,SSOP-28_5.3x10.2mm_P0.65mm,,1
74141,U8,DIP-16_W7.62mm,,1
74141,U7,DIP-16_W7.62mm,,1
100n,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100n,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100n,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
MCP23017_SO,U1,SSOP-28_5.3x10.2mm_P0.65mm,,1
74141,U5,DIP-16_W7.62mm,,1
74141,U3,DIP-16_W7.62mm,,1
74141,U2,DIP-16_W7.62mm,,1
4k7,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
4k7,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
100n,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100n,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100n,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100n,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
Raspberry_Pi_2_3,J1,Raspberry_Pi_Zero_Socketed_THT_FaceDown_MountingHoles,,1
