Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,156.845,-116.84,-90.0,top
C10,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,176.53,-116.84,-90.0,top
C2,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.715,-107.315,180.0,top
C3,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,87.63,-107.315,180.0,top
C4,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,109.855,-107.315,180.0,top
C5,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,154.94,-107.315,180.0,top
C6,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,177.8,-107.569,180.0,top
C7,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,200.152,-107.569,180.0,top
C8,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,143.51,-109.22,270.0,bottom
C9,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,135.255,-109.22,270.0,bottom
J1,Raspberry_Pi_2_3,Raspberry_Pi_Zero_Socketed_THT_FaceDown_MountingHoles,111.0,-104.8725,90.0,top
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,196.81,-117.0,90.0,top
J3,Conn_02x05_Odd_Even,PinHeader_2x05_P2.00mm_Vertical,92.0,-90.0,270.0,bottom
J4,Conn_02x02_Odd_Even,PinHeader_2x02_P2.00mm_Vertical,184.5,-90.0,270.0,bottom
J5,Conn_02x05_Odd_Even,PinHeader_2x05_P2.00mm_Vertical,106.0,-90.0,270.0,bottom
J6,Conn_02x05_Odd_Even,PinHeader_2x05_P2.00mm_Vertical,128.5,-90.0,270.0,bottom
J7,Conn_02x05_Odd_Even,PinHeader_2x05_P2.00mm_Vertical,159.5,-90.0,270.0,bottom
J8,Conn_02x05_Odd_Even,PinHeader_2x05_P2.00mm_Vertical,173.5,-90.0,270.0,bottom
J9,Conn_02x05_Odd_Even,PinHeader_2x05_P2.00mm_Vertical,195.5,-90.0,270.0,bottom
Q1,PMBTA42,SOT-23,194.31,-111.965,270.0,bottom
Q2,PMBTA92,SOT-23,200.23,-111.965,270.0,bottom
R10,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,190.5,-111.76,90.0,bottom
R4,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,87.63,-109.855,0.0,top
R5,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,87.63,-111.76,0.0,top
R6,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.99,-116.84,90.0,top
R7,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,171.45,-116.84,90.0,top
R8,220k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,194.515,-108.155,0.0,bottom
R9,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,199.595,-108.155,0.0,bottom
U1,MCP23017_SO,SSOP-28_5.3x10.2mm_P0.65mm,163.83,-114.935,-90.0,top
U11,MCP23017_SO,SSOP-28_5.3x10.2mm_P0.65mm,183.515,-114.935,-90.0,top
U2,74141,DIP-16_W7.62mm,132.73,-100.945,90.0,top
U3,74141,DIP-16_W7.62mm,87.645,-100.955,90.0,top
U4,TCA9406DC,SSOP-8_2.95x2.8mm_P0.65mm,139.065,-109.855,-90.0,top
U5,74141,DIP-16_W7.62mm,109.87,-100.955,90.0,top
U6,74141,DIP-16_W7.62mm,154.955,-100.955,90.0,top
U7,74141,DIP-16_W7.62mm,177.815,-100.955,90.0,top
U8,74141,DIP-16_W7.62mm,200.04,-100.955,90.0,top
